section,req_number,requirement
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1,The system shall implement a modular microservices architecture where each service is independently deployable.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.1,Each microservice shall expose its API exclusively via the API Gateway; direct service-to-service calls shall not be permitted in production.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.1.1,"The API Gateway shall enforce rate limiting per authenticated client at a default of 1000 requests per minute, configurable per client."
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.1.1.1,Rate limit counters shall be maintained in a distributed cache shared across all API Gateway instances to ensure consistent enforcement.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.1.1.1.1,The distributed cache shall use a Redis Cluster with a minimum of 3 primary nodes and 1 replica per primary for high availability.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.1.1.1.1.1,"Redis Cluster configuration parameters including node count, replication factor, and timeout values shall be defined in the infrastructure-as-code repository."
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.2,Each microservice shall publish structured logs in JSON format to the centralised logging platform.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.2.1,"Log entries shall include: service name, instance ID, timestamp (ISO 8601 UTC), log level, trace ID, span ID, and message."
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.2.1.1,The trace ID and span ID fields shall conform to the W3C Trace Context specification.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.2.1.1.1,All services shall propagate the W3C traceparent and tracestate HTTP headers to downstream service calls.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.2.1.1.1.1,Header propagation shall be implemented using the OpenTelemetry SDK and shall not require manual implementation in individual services.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.3,Microservices shall be stateless; session state shall be stored exclusively in the shared session store.
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.3.1,The shared session store shall be backed by Redis with a session TTL of 1800 seconds (30 minutes).
PART I | - SYSTEM FUNCTIONAL REQUIREMENTS,1.3.1.1,Session data shall be encrypted at rest within Redis using the AES-256-GCM algorithm.
PART II | - DATA REQUIREMENTS,2,The system shall implement a data model supporting the full lifecycle of engineering requirements from initial capture to archival.
PART II | - DATA REQUIREMENTS,2.1,The data model shall represent requirements as versioned entities where each state change produces an immutable version record.
PART II | - DATA REQUIREMENTS,2.1.1,Version records shall be append-only and shall not be modifiable or deletable by any user role including Administrator.
PART II | - DATA REQUIREMENTS,2.1.1.1,The append-only constraint shall be enforced at the database level using row-level security policies.
PART II | - DATA REQUIREMENTS,2.1.1.1.1,Row-level security policies shall be tested as part of the database migration test suite run before each deployment.
PART II | - DATA REQUIREMENTS,2.1.1.1.1.1,Migration test failures related to row-level security shall block the deployment pipeline and trigger a P1 alert.
PART II | - DATA REQUIREMENTS,2.2,The system shall store traceability links as first-class entities with their own audit trail independent of the linked artefacts.
PART II | - DATA REQUIREMENTS,2.2.1,"Each traceability link entity shall record: source artefact ID and version, target artefact ID and version, link type, creating user, and creation timestamp."
PART II | - DATA REQUIREMENTS,2.2.1.1,"When a linked artefact is modified, the system shall create a new link entity referencing the new artefact version and mark the previous link entity as superseded."
PART II | - DATA REQUIREMENTS,2.2.1.1.1,Superseded link entities shall be retained in the database and shall be accessible via the link history view.
PART II | - DATA REQUIREMENTS,2.2.1.1.1.1,The link history view shall display superseded links with a visual indicator distinguishing them from current active links.
PART II | - DATA REQUIREMENTS,2.3,The system shall support soft deletion of requirements artefacts; deleted artefacts shall be marked as deleted and excluded from standard views but retained in the database.
PART II | - DATA REQUIREMENTS,2.3.1,Soft-deleted artefacts shall be restorable by users with the Approver role or higher within 90 days of deletion.
PART II | - DATA REQUIREMENTS,2.3.1.1,"After 90 days, soft-deleted artefacts shall be automatically archived to cold storage and shall no longer be restorable through the application interface."
PART III | - INTERFACE REQUIREMENTS,3,The system shall provide machine-readable interfaces supporting automated test toolchain integration.
