section,req_number,Primary Text,Artifact Type,Name,parentBinding
Annex A — Functional Requirements,1,This annex defines the functional requirements for the Integrated Command and Control (ICC) Platform. All requirements are mandatory unless explicitly stated otherwise. Requirements shall be verified by the method indicated in the Verification Method attribute.,Functional Requirement,This annex defines the functional requirements for the Integrated Command and Control (ICC) Platform. All requirements are mandatory unless explicitly stated otherwise. Requirements shall be verified by the method indicated in the Verification Method attribute.,
Annex A — Functional Requirements,1.1,The system shall implement command and control functions that enable authorised operators to direct and monitor all assigned assets in real time.,Functional Requirement,The system shall implement command and control functions that enable authorised operators to direct and monitor all assigned assets in real time.,1
Annex A — Functional Requirements,1.1.1,The system shall display the current operational status of all assets in the common operating picture (COP) with a maximum update latency of 2 seconds from the time of status change at the asset.,Functional Requirement,The system shall display the current operational status of all assets in the common operating picture (COP) with a maximum update latency of 2 seconds from the time of status change at the asset.,1.1
Annex A — Functional Requirements,1.1.2,The system shall provide a hierarchical command structure that mirrors the operational chain of command as defined in the current operational order.,Functional Requirement,The system shall provide a hierarchical command structure that mirrors the operational chain of command as defined in the current operational order.,1.1
Annex A — Functional Requirements,1.1.2.1,The command hierarchy shall be configurable by an operator with the System Administrator role and shall take effect within 60 seconds of configuration being saved.,Functional Requirement,The command hierarchy shall be configurable by an operator with the System Administrator role and shall take effect within 60 seconds of configuration being saved.,1.1.2
Annex A — Functional Requirements,1.1.2.2,The system shall enforce that commands are only propagated downward through the command hierarchy and not laterally between units at the same echelon.,Functional Requirement,The system shall enforce that commands are only propagated downward through the command hierarchy and not laterally between units at the same echelon.,1.1.2
Annex A — Functional Requirements,1.1.3,"The system shall record all commands issued, acknowledged, and executed, together with the issuing operator identity, timestamp, and asset acknowledgement timestamp, in a tamper-evident command log.",Functional Requirement,"The system shall record all commands issued, acknowledged, and executed, together with the issuing operator identity, timestamp, and asset acknowledgement timestamp, in a tamper-evident command log.",1.1
Annex A — Functional Requirements,1.1.3.1,The command log shall be stored in an append-only data structure and shall be replicated to the backup system within 5 seconds of each log entry being written.,Functional Requirement,The command log shall be stored in an append-only data structure and shall be replicated to the backup system within 5 seconds of each log entry being written.,1.1.3
Annex A — Functional Requirements,1.1.3.1.1,The replication channel shall use mutual TLS authentication and shall be monitored for availability; any replication failure shall generate a P1 alert within 30 seconds.,Functional Requirement,The replication channel shall use mutual TLS authentication and shall be monitored for availability; any replication failure shall generate a P1 alert within 30 seconds.,1.1.3.1
Annex A — Functional Requirements,1.1.3.1.1.1,"The P1 alert shall be delivered simultaneously to the system duty officer display terminal, the operations room alarm panel, and the on-call engineer mobile device, and shall not be dismissible until acknowledged by a duty officer with an appropriate security clearance level.",Functional Requirement,"The P1 alert shall be delivered simultaneously to the system duty officer display terminal, the operations room alarm panel, and the on-call engineer mobile device, and shall not be dismissible until acknowledged by a duty officer with an appropriate security clearance level.",1.1.3.1.1
Annex A — Functional Requirements,1.2,"The system shall aggregate situational awareness data from all connected sensor systems and present it in a fused, deduplicated common operating picture.",Functional Requirement,"The system shall aggregate situational awareness data from all connected sensor systems and present it in a fused, deduplicated common operating picture.",1
Annex A — Functional Requirements,1.2.1,The system shall accept data feeds from the following sensor categories and shall process each within the latency tolerance specified:,Functional Requirement,The system shall accept data feeds from the following sensor categories and shall process each within the latency tolerance specified:,1.2
Annex A — Functional Requirements,1.2.2,"Duplicate tracks arising from overlapping sensor coverage shall be fused within 500ms of the second observation being received, using the track fusion algorithm specified in the System Design Document.",Functional Requirement,"Duplicate tracks arising from overlapping sensor coverage shall be fused within 500ms of the second observation being received, using the track fusion algorithm specified in the System Design Document.",1.2
Annex A — Functional Requirements,1.2.3,The system shall permit an operator to manually correlate or de-correlate tracks and shall record the operator identity and timestamp of each manual correlation action.,Functional Requirement,The system shall permit an operator to manually correlate or de-correlate tracks and shall record the operator identity and timestamp of each manual correlation action.,1.2
Annex A — Functional Requirements,1.3,"The system shall provide a mission planning capability enabling authorised planners to create, edit, and distribute operational plans.",Functional Requirement,"The system shall provide a mission planning capability enabling authorised planners to create, edit, and distribute operational plans.",1
Annex A — Functional Requirements,1.3.1,"A mission plan shall contain at minimum: mission objective, execution timeline, asset assignments, rules of engagement reference, and designated communication channels.",Functional Requirement,"A mission plan shall contain at minimum: mission objective, execution timeline, asset assignments, rules of engagement reference, and designated communication channels.",1.3
