section,Identifier,Primary Text,Artifact Type,Name,parentBinding
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1,The system shall implement a modular microservices architecture where each service is independently deployable.,Functional Requirement,The system shall implement a modular microservices architecture where each service is independently deployable.,
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.1,Each microservice shall expose its API exclusively via the API Gateway; direct service-to-service calls shall not be permitted in production.,Functional Requirement,Each microservice shall expose its API exclusively via the API Gateway; direct service-to-service calls shall not be permitted in production.,SFR::1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.1.1,"The API Gateway shall enforce rate limiting per authenticated client at a default of 1000 requests per minute, configurable per client.",Functional Requirement,"The API Gateway shall enforce rate limiting per authenticated client at a default of 1000 requests per minute, configurable per client.",SFR::1.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.1.1.1,Rate limit counters shall be maintained in a distributed cache shared across all API Gateway instances to ensure consistent enforcement.,Functional Requirement,Rate limit counters shall be maintained in a distributed cache shared across all API Gateway instances to ensure consistent enforcement.,SFR::1.1.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.1.1.1.1,The distributed cache shall use a Redis Cluster with a minimum of 3 primary nodes and 1 replica per primary for high availability.,Functional Requirement,The distributed cache shall use a Redis Cluster with a minimum of 3 primary nodes and 1 replica per primary for high availability.,SFR::1.1.1.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.1.1.1.1.1,"Redis Cluster configuration parameters including node count, replication factor, and timeout values shall be defined in the infrastructure-as-code repository.",Functional Requirement,"Redis Cluster configuration parameters including node count, replication factor, and timeout values shall be defined in the infrastructure-as-code repository.",SFR::1.1.1.1.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.2,Each microservice shall publish structured logs in JSON format to the centralised logging platform.,Functional Requirement,Each microservice shall publish structured logs in JSON format to the centralised logging platform.,SFR::1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.2.1,"Log entries shall include: service name, instance ID, timestamp (ISO 8601 UTC), log level, trace ID, span ID, and message.",Functional Requirement,"Log entries shall include: service name, instance ID, timestamp (ISO 8601 UTC), log level, trace ID, span ID, and message.",SFR::1.2
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.2.1.1,The trace ID and span ID fields shall conform to the W3C Trace Context specification.,Functional Requirement,The trace ID and span ID fields shall conform to the W3C Trace Context specification.,SFR::1.2.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.2.1.1.1,All services shall propagate the W3C traceparent and tracestate HTTP headers to downstream service calls.,Functional Requirement,All services shall propagate the W3C traceparent and tracestate HTTP headers to downstream service calls.,SFR::1.2.1.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.2.1.1.1.1,Header propagation shall be implemented using the OpenTelemetry SDK and shall not require manual implementation in individual services.,Functional Requirement,Header propagation shall be implemented using the OpenTelemetry SDK and shall not require manual implementation in individual services.,SFR::1.2.1.1.1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.3,Microservices shall be stateless; session state shall be stored exclusively in the shared session store.,Functional Requirement,Microservices shall be stateless; session state shall be stored exclusively in the shared session store.,SFR::1
PART I — SYSTEM FUNCTIONAL REQUIREMENTS,SFR::1.3.1,The shared session store shall be backed by Redis with a session TTL of 1800 seconds (30 minutes).,Functional Requirement,The shared session store shall be backed by Redis with a session TTL of 1800 seconds (30 minutes).,SFR::1.3
