section,req_number,requirement
,1,The system shall meet the performance thresholds defined in this
section under all specified operational load conditions.,1.1,The system shall process a standard search query and return results within 1.5 seconds at the 95th percentile under nominal load.
section under all specified operational load conditions.,1.1.1,Nominal load is defined as up to 200 concurrent active users submitting queries at a rate not exceeding 10 queries per second per user.
section under all specified operational load conditions.,1.1.1.1,The 95th percentile response time measurement shall be collected using distributed tracing instrumentation on the application server.
section under all specified operational load conditions.,1.1.1.1.1,Distributed tracing shall use the OpenTelemetry standard and export to the organisation's approved observability platform.
section under all specified operational load conditions.,1.1.1.1.1.1,The OpenTelemetry exporter configuration shall support runtime update without requiring a service restart.
section under all specified operational load conditions.,1.2,The system shall sustain a throughput of at least 500 transactions per second for bulk data import operations.
section under all specified operational load conditions.,1.2.1,Throughput measurement shall be performed using the standard load test suite defined in the project test plan.
section under all specified operational load conditions.,1.2.1.1,The load test suite shall simulate realistic data payloads drawn from the production data sample set.
section under all specified operational load conditions.,1.2.1.1.1,Production data samples used in load testing shall be anonymised in accordance with the organisation's data handling policy.
section under all specified operational load conditions.,1.2.1.1.1.1,Anonymisation shall replace all personally identifiable fields with synthetic data generated by the approved data masking tool.
section under all specified operational load conditions.,1.3,The system shall recover from a single application server failure and resume processing within 60 seconds without data loss.
section under all specified operational load conditions.,1.3.1,Recovery shall be verified by the automated failover test in the CI pipeline before each production deployment.
section under all specified operational load conditions.,1.3.1.1,The automated failover test shall simulate failure by sending a SIGKILL signal to a randomly selected application server instance.
section under all specified operational load conditions.,2,The system shall implement security controls that meet the requirements of ISO/IEC 27001:2022 and the organisation's information security policy.
section under all specified operational load conditions.,2.1,The system shall encrypt all data in transit using TLS 1.3 or higher.
section under all specified operational load conditions.,2.1.1,TLS certificate management shall be automated using the organisation's PKI certificate authority.
section under all specified operational load conditions.,2.1.1.1,Certificates shall be renewed automatically at least 30 days before expiry using an ACME-compliant renewal agent.
section under all specified operational load conditions.,2.1.1.1.1,The renewal agent shall send an alert to the security team if automatic renewal fails more than 5 days before certificate expiry.
