section,req_number,requirement,Artifact Type,Section Name,parentBinding
,1,System Overview............................................1,Functional Requirement,System Overview............................................1,
,1.1,Scope and Purpose........................................1,Functional Requirement,Scope and Purpose........................................1,1
,1.2,System Context...........................................1,Functional Requirement,System Context...........................................1,1
,1.3,Definitions and Abbreviations............................1,Functional Requirement,Definitions and Abbreviations............................1,1
,2,Functional Requirements....................................1,Functional Requirement,Functional Requirements....................................1,
,2.1,User Interface...........................................1,Functional Requirement,User Interface...........................................1,2
,2.2,Business Logic...........................................1,Functional Requirement,Business Logic...........................................1,2
,2.3,Reporting................................................1,Functional Requirement,Reporting................................................1,2
,3,Data Requirements..........................................1,Functional Requirement,Data Requirements..........................................1,
,3.1,Data Storage.............................................1,Functional Requirement,Data Storage.............................................1,3
,3.2,Data Integrity...........................................1,Functional Requirement,Data Integrity...........................................1,3
Section 1 — System Overview,1,"The system shall provide an enterprise-grade platform for managing programme delivery, resource allocation, and stakeholder reporting across multiple concurrent projects.",Functional Requirement,"The system shall provide an enterprise-grade platform for managing programme delivery, resource allocation, and stakeholder reporting across multiple concurrent projects.",
Section 1 — System Overview,1.1,"The system shall serve as the single authoritative source of truth for all programme-level requirements, decisions, and delivery artefacts.",Functional Requirement,"The system shall serve as the single authoritative source of truth for all programme-level requirements, decisions, and delivery artefacts.",1
Section 1 — System Overview,1.1.1,The system shall be accessible to all authorised users within the enterprise network without requiring local software installation beyond a supported web browser.,Functional Requirement,The system shall be accessible to all authorised users within the enterprise network without requiring local software installation beyond a supported web browser.,1.1
Section 1 — System Overview,1.1.2,"The system shall support the following user roles and their associated permissions:
- Programme Manager
- Project Manager
- Business Analyst
- Read-Only Viewer",Functional Requirement,The system shall support the following user roles and their associated permissions:,1.1
Section 1 — System Overview,1.2,"The system shall integrate with the following enterprise systems via published APIs:
- Enterprise Resource Planning (ERP)
- Human Resources Information System (HRIS)
- Document Management System (DMS)",Functional Requirement,The system shall integrate with the following enterprise systems via published APIs:,1
Section 1 — System Overview,1.2.1,"Integration with the ERP system shall use the REST API documented in ERP-API-SPEC-v3.2, with OAuth 2.0 authentication.",Functional Requirement,"Integration with the ERP system shall use the REST API documented in ERP-API-SPEC-v3.2, with OAuth 2.0 authentication.",1.2
Section 1 — System Overview,1.2.2,The system shall synchronise user account data from HRIS on a scheduled basis no less frequently than every 4 hours during business hours.,Functional Requirement,The system shall synchronise user account data from HRIS on a scheduled basis no less frequently than every 4 hours during business hours.,1.2
Section 1 — System Overview,1.3,All abbreviations used in this document shall be defined in the Glossary at Annex A of the project's Document Management Plan.,Functional Requirement,All abbreviations used in this document shall be defined in the Glossary at Annex A of the project's Document Management Plan.,1
Section 1 — System Overview,1.3.1,"Where a term used in a requirement has a specific technical meaning that differs from its common English meaning, the technical definition shall take precedence and shall be referenced explicitly.",Functional Requirement,"Where a term used in a requirement has a specific technical meaning that differs from its common English meaning, the technical definition shall take precedence and shall be referenced explicitly.",1.3
Section 2 — Functional Requirements,1,The system shall implement all functional requirements described in this section as mandatory capabilities for the initial system release.,Functional Requirement,The system shall implement all functional requirements described in this section as mandatory capabilities for the initial system release.,
Section 2 — Functional Requirements,1.1,The user interface shall comply with WCAG 2.1 Level AA accessibility standards throughout all screens and user workflows.,Functional Requirement,The user interface shall comply with WCAG 2.1 Level AA accessibility standards throughout all screens and user workflows.,1
Section 2 — Functional Requirements,1.1.1,The interface shall support keyboard-only navigation for all primary user functions without requiring mouse interaction.,Functional Requirement,The interface shall support keyboard-only navigation for all primary user functions without requiring mouse interaction.,1.1
Section 2 — Functional Requirements,1.1.2,The interface shall be responsive and shall display correctly on screen widths from 1024px to 3840px without horizontal scrolling.,Functional Requirement,The interface shall be responsive and shall display correctly on screen widths from 1024px to 3840px without horizontal scrolling.,1.1
Section 2 — Functional Requirements,1.1.3,"The interface shall provide the following view modes for requirement lists:
- Flat list sorted by requirement number
- Hierarchical tree view
- Filter view (filter by status, owner, priority)
- Traceability matrix view",Functional Requirement,The interface shall provide the following view modes for requirement lists:,1.1
Section 2 — Functional Requirements,1.2,The system shall enforce all business rules defined in the Business Rules Register (BRR-2024-001) without exception.,Functional Requirement,The system shall enforce all business rules defined in the Business Rules Register (BRR-2024-001) without exception.,1
Section 2 — Functional Requirements,1.2.1,The system shall prevent a requirement from being set to status 'Approved' unless all mandatory attributes have been populated.,Functional Requirement,The system shall prevent a requirement from being set to status 'Approved' unless all mandatory attributes have been populated.,1.2
