section,req_number,requirement,Artifact Type,Section Name,parentBinding
,1,"The system shall provide a web-based user interface accessible via standard browsers including Chrome, Firefox, Edge, and Safari.",Functional Requirement,"The system shall provide a web-based user interface accessible via standard browsers including Chrome, Firefox, Edge, and Safari.",
,1.1,The system shall support user authentication using username and password credentials stored in the central identity provider.,Functional Requirement,The system shall support user authentication using username and password credentials stored in the central identity provider.,1
,1.1.1,"The system shall validate that the password contains a minimum of 12 characters including at least one uppercase letter, one digit, and one special character.",Functional Requirement,"The system shall validate that the password contains a minimum of 12 characters including at least one uppercase letter, one digit, and one special character.",1.1
,1.1.1.1,The system shall reject passwords that match any of the user's previous 12 passwords.,Functional Requirement,The system shall reject passwords that match any of the user's previous 12 passwords.,1.1.1
,1.1.1.1.1,The password history check shall be performed server-side before the new password hash is stored.,Functional Requirement,The password history check shall be performed server-side before the new password hash is stored.,1.1.1.1
,1.1.1.1.1.1,The bcrypt cost factor shall be configurable by the system administrator via the security configuration interface without requiring a system restart.,Functional Requirement,The bcrypt cost factor shall be configurable by the system administrator via the security configuration interface without requiring a system restart.,1.1.1.1.1
,1.1.1.1.1.2,The system shall verify that the bcrypt cost factor results in a hash computation time of at least 250ms on the target server hardware before accepting a configuration change.,Functional Requirement,The system shall verify that the bcrypt cost factor results in a hash computation time of at least 250ms on the target server hardware before accepting a configuration change.,1.1.1.1.1
,1.1.1.1.2,The system shall store only the hash of previous passwords using bcrypt with a minimum cost factor of 12.,Functional Requirement,The system shall store only the hash of previous passwords using bcrypt with a minimum cost factor of 12.,1.1.1.1
,1.1.1.2,"The system shall reject passwords that contain the user's first name, last name, or username as a substring.",Functional Requirement,"The system shall reject passwords that contain the user's first name, last name, or username as a substring.",1.1.1
,1.1.1.2.1,The substring check shall be case-insensitive and shall apply to both the full name and each component of a hyphenated name.,Functional Requirement,The substring check shall be case-insensitive and shall apply to both the full name and each component of a hyphenated name.,1.1.1.2
,1.1.1.2.1.1,The substring matching algorithm shall normalise Unicode characters to NFC form before performing the comparison.,Functional Requirement,The substring matching algorithm shall normalise Unicode characters to NFC form before performing the comparison.,1.1.1.2.1
,1.1.1.3,The system shall enforce password expiry after 90 days and prompt the user to set a new password upon next login.,Functional Requirement,The system shall enforce password expiry after 90 days and prompt the user to set a new password upon next login.,1.1.1
,1.1.1.3.1,"The password expiry notification shall be sent by email 14 days, 7 days, and 1 day before the expiry date.",Functional Requirement,"The password expiry notification shall be sent by email 14 days, 7 days, and 1 day before the expiry date.",1.1.1.3
,1.1.1.3.1.1,Password expiry notification emails shall be sent by the background notification service within a 1-hour window of the scheduled notification time.,Functional Requirement,Password expiry notification emails shall be sent by the background notification service within a 1-hour window of the scheduled notification time.,1.1.1.3.1
,1.1.2,The system shall lock the user account after five consecutive failed authentication attempts within a 10-minute window.,Functional Requirement,The system shall lock the user account after five consecutive failed authentication attempts within a 10-minute window.,1.1
,1.1.2.1,"The system shall record each failed authentication attempt in the audit log with timestamp, source IP address, and username.",Functional Requirement,"The system shall record each failed authentication attempt in the audit log with timestamp, source IP address, and username.",1.1.2
,1.1.2.1.1,The audit log entry for failed authentication shall be written before the response is returned to the client.,Functional Requirement,The audit log entry for failed authentication shall be written before the response is returned to the client.,1.1.2.1
,1.1.2.2,The system shall require administrator action or a verified password reset email to unlock a locked account.,Functional Requirement,The system shall require administrator action or a verified password reset email to unlock a locked account.,1.1.2
,1.1.2.2.1,The password reset email shall contain a single-use token that expires after 60 minutes.,Functional Requirement,The password reset email shall contain a single-use token that expires after 60 minutes.,1.1.2.2
,1.1.3,The system shall send an email notification to the registered address when an account lockout event occurs.,Functional Requirement,The system shall send an email notification to the registered address when an account lockout event occurs.,1.1
,1.1.3.1,The email notification shall include the timestamp of the lockout event and the source IP address of the last failed attempt.,Functional Requirement,The email notification shall include the timestamp of the lockout event and the source IP address of the last failed attempt.,1.1.3
,1.2,"The system shall enforce a session timeout of 30 minutes of inactivity, after which the user shall be required to re-authenticate.",Functional Requirement,"The system shall enforce a session timeout of 30 minutes of inactivity, after which the user shall be required to re-authenticate.",1
,1.2.1,The system shall display a countdown warning 5 minutes before the session timeout threshold is reached.,Functional Requirement,The system shall display a countdown warning 5 minutes before the session timeout threshold is reached.,1.2
,1.2.1.1,The countdown warning shall appear as a modal dialog that does not obstruct the user's current work.,Functional Requirement,The countdown warning shall appear as a modal dialog that does not obstruct the user's current work.,1.2.1
,1.2.2,The system shall provide a 'Stay Logged In' button that resets the session timer when clicked.,Functional Requirement,The system shall provide a 'Stay Logged In' button that resets the session timer when clicked.,1.2
,1.2.2.1,The 'Stay Logged In' action shall be logged in the session audit trail with the timestamp of the extension.,Functional Requirement,The 'Stay Logged In' action shall be logged in the session audit trail with the timestamp of the extension.,1.2.2
,1.3,The system shall display the currently authenticated username and role in the application header at all times.,Functional Requirement,The system shall display the currently authenticated username and role in the application header at all times.,1
,1.3.1,The system shall display the user's assigned role using the role name as defined in the identity provider group membership.,Functional Requirement,The system shall display the user's assigned role using the role name as defined in the identity provider group membership.,1.3
,2,"The system shall provide a requirements management module that supports the creation, editing, and deletion of requirements artefacts.",Functional Requirement,"The system shall provide a requirements management module that supports the creation, editing, and deletion of requirements artefacts.",
,2.1,The system shall allow authorised users to create new requirements using a structured form with mandatory and optional fields.,Functional Requirement,The system shall allow authorised users to create new requirements using a structured form with mandatory and optional fields.,2
,2.1.1,"The requirements creation form shall include the fields: Title, Description, Priority, Verification Method, and Status.",Functional Requirement,"The requirements creation form shall include the fields: Title, Description, Priority, Verification Method, and Status.",2.1
,2.1.1.1,"The Priority field shall be an enumeration with values: Critical, High, Medium, Low.",Functional Requirement,"The Priority field shall be an enumeration with values: Critical, High, Medium, Low.",2.1.1
,2.1.1.1.1,The system shall prevent the user from saving a requirement with a Verification Method of 'Test' if Status is 'Approved' and no test case is linked.,Functional Requirement,The system shall prevent the user from saving a requirement with a Verification Method of 'Test' if Status is 'Approved' and no test case is linked.,2.1.1.1
,2.1.1.1.1.1,The blocking rule described in 2.1.1.1.1 shall be configurable per project by the project administrator.,Functional Requirement,The blocking rule described in 2.1.1.1.1 shall be configurable per project by the project administrator.,2.1.1.1.1
,2.1.1.1.1.2,"When the blocking rule prevents saving, the system shall display a specific error message identifying the missing test case link.",Functional Requirement,"When the blocking rule prevents saving, the system shall display a specific error message identifying the missing test case link.",2.1.1.1.1
,2.1.1.2,"The Verification Method field shall be an enumeration with values: Test, Analysis, Inspection, Demonstration.",Functional Requirement,"The Verification Method field shall be an enumeration with values: Test, Analysis, Inspection, Demonstration.",2.1.1
,2.1.1.2.1,Changes to the Verification Method after a requirement is in 'Approved' status shall require a second user to confirm the change.,Functional Requirement,Changes to the Verification Method after a requirement is in 'Approved' status shall require a second user to confirm the change.,2.1.1.2
,2.1.1.3,"The Status field shall be an enumeration with values: Draft, Under Review, Approved, Deprecated.",Functional Requirement,"The Status field shall be an enumeration with values: Draft, Under Review, Approved, Deprecated.",2.1.1
,2.1.2,The system shall generate a unique identifier for each new requirement in the format REQ-NNNN where NNNN is a zero-padded integer.,Functional Requirement,The system shall generate a unique identifier for each new requirement in the format REQ-NNNN where NNNN is a zero-padded integer.,2.1
,2.1.2.1,The unique identifier sequence shall be maintained per project and shall not be reused even if a requirement is deleted.,Functional Requirement,The unique identifier sequence shall be maintained per project and shall not be reused even if a requirement is deleted.,2.1.2
,2.1.3,The system shall record the creating user and creation timestamp as immutable attributes of the requirement.,Functional Requirement,The system shall record the creating user and creation timestamp as immutable attributes of the requirement.,2.1
,2.2,The system shall support versioning of requirements such that each modification creates a new version and the full change history is retained.,Functional Requirement,The system shall support versioning of requirements such that each modification creates a new version and the full change history is retained.,2
,2.2.1,"Each requirement version shall store the complete attribute set, the modifying user, and the modification timestamp.",Functional Requirement,"Each requirement version shall store the complete attribute set, the modifying user, and the modification timestamp.",2.2
,2.2.1.1,The version history shall be accessible from the requirement detail view via a 'Version History' tab.,Functional Requirement,The version history shall be accessible from the requirement detail view via a 'Version History' tab.,2.2.1
,2.2.2,The system shall provide a side-by-side diff view comparing any two versions of a requirement.,Functional Requirement,The system shall provide a side-by-side diff view comparing any two versions of a requirement.,2.2
,2.2.2.1,The diff view shall highlight added text in green and removed text in red with strikethrough formatting.,Functional Requirement,The diff view shall highlight added text in green and removed text in red with strikethrough formatting.,2.2.2
,2.2.3,The system shall allow users to add a change justification comment when saving a modified requirement.,Functional Requirement,The system shall allow users to add a change justification comment when saving a modified requirement.,2.2
